,Open,High,Low,Close,Volume
2017-03-27 10:00:00,635.55,639.38,623.6,624.25,14836244
2017-03-28 10:00:00,629.0,632.0,621.0,623.2,9923868
2017-03-29 10:00:00,625.85,630.0,616.68,629.6,8651574
2017-03-30 10:00:00,627.5,637.38,626.5,633.8,12737718
2017-03-31 10:00:00,633.0,668.82,633.0,660.3,20751038
2017-04-03 10:00:00,671.0,690.25,668.52,686.62,20520654
2017-04-05 10:00:00,697.6,709.0,690.05,707.52,18434720
2017-04-06 10:00:00,704.5,724.4,701.1,717.0,23142150
2017-04-07 10:00:00,710.65,717.0,701.28,702.62,14572302
2017-04-10 10:00:00,705.0,712.45,688.65,692.38,14066282
2017-04-11 10:00:00,693.92,700.22,685.05,687.85,14743454
2017-04-12 10:00:00,691.4,693.22,675.58,677.5,12548430
2017-04-13 10:00:00,677.0,686.7,673.68,682.9,5812376
2017-04-17 10:00:00,682.5,697.78,682.5,695.72,5411708
2017-04-18 10:00:00,699.98,705.0,683.5,684.5,7322166
2017-04-19 10:00:00,684.5,691.28,678.78,684.98,5290584
2017-04-20 10:00:00,689.5,693.4,682.05,685.22,3837224
2017-04-21 10:00:00,690.25,710.5,689.28,702.5,13820554
2017-04-24 10:00:00,704.52,717.5,700.1,708.92,11663462
2017-04-25 10:00:00,730.0,733.88,713.05,715.5,16807408
2017-04-26 10:00:00,717.5,720.02,701.3,708.25,7663550
2017-04-27 10:00:00,708.5,712.08,701.1,704.5,5747310
2017-04-28 10:00:00,704.88,710.15,695.5,697.12,5416808
2017-05-02 10:00:00,701.0,701.0,683.2,686.0,8499368
2017-05-03 10:00:00,688.45,690.38,682.5,685.1,4343098
2017-05-04 10:00:00,687.5,689.8,677.02,680.8,6567622
2017-05-05 10:00:00,680.8,683.68,662.5,664.2,7131086
2017-05-08 10:00:00,665.0,669.75,659.18,660.05,7345170
2017-05-09 10:00:00,662.0,666.82,660.12,665.0,9649022
2017-05-10 10:00:00,667.4,681.8,665.32,679.6,10471864
2017-05-11 10:00:00,682.05,684.88,675.82,678.5,6301512
2017-05-12 10:00:00,680.02,682.0,672.02,674.95,3439458
2017-05-15 10:00:00,678.2,678.2,666.8,671.8,3080426
2017-05-16 10:00:00,673.02,688.45,670.5,678.1,5785894
2017-05-17 10:00:00,676.5,682.98,673.88,675.0,4500608
2017-05-18 10:00:00,670.12,675.0,662.05,663.72,4475832
